WEIGHT,LOCATION,REGION,SECTIONS,PRICE,SQFT,BEDROOMS,WGTADJ
69.1571,1,3,1,90000,1200,3,0.9369
69.1571,2,3,1,82000,1200,3,0.9369
69.1571,3,3,1,68000,1100,3,0.9369
18.5789,2,4,1,90000,1200,3,0.9369
18.5789,1,4,1,90000,1200,3,0.9369
18.5789,1,4,1,76000,920,3,0.9369
18.5789,1,4,1,85000,1100,3,0.9369
18.5789,1,4,1,71000,820,1,0.9369
18.5789,3,4,1,85000,1100,3,0.9369
18.5789,1,4,1,94000,1300,3,0.9369
18.5789,1,4,1,85000,1100,3,0.9369
11.45,2,1,1,96000,1200,3,0.9369
69.1571,2,3,1,69000,660,1,0.9369
15.7455,1,2,1,66000,740,1,0.9369
15.7455,1,2,1,90000,1200,3,0.9369
15.7455,1,2,1,82000,1100,3,0.9369
15.7455,1,2,1,94000,1300,3,0.9369
15.7455,1,2,1,91000,740,1,0.9369
15.7455,1,2,1,78000,960,3,0.9369
15.7455,1,2,1,69000,740,1,0.9369
15.7455,1,2,1,78000,960,3,0.9369
69.1571,3,3,1,75000,900,1,0.9369
69.1571,2,3,1,73000,1300,3,0.9369
15.7455,1,2,1,90000,1200,3,0.9369
15.7455,1,2,1,87000,1200,3,0.9369
15.7455,1,2,1,71000,1100,3,0.9369
15.7455,1,2,1,94000,1300,3,0.9369
15.7455,1,2,1,65000,1200,3,0.9369
15.7455,1,2,1,67000,1100,3,0.9369
15.7455,1,2,1,100000,1200,1,0.9369
15.7455,1,2,1,76000,920,3,0.9369
15.7455,1,2,1,82000,1100,3,0.9369
15.7455,1,2,1,82000,1100,3,0.9369
18.5789,3,4,1,94000,1300,3,0.9369
15.7455,2,2,1,90000,1200,3,0.9369
11.45,1,1,1,93000,780,1,0.9369
69.1571,1,3,1,98000,920,1,0.9369
15.7455,1,2,1,56000,1200,3,0.9369
15.7455,3,2,1,92000,1200,1,0.9369
69.1571,3,3,1,53000,840,1,0.9369
18.5789,2,4,1,57000,820,1,0.9369
11.45,1,1,1,95000,960,1,0.9369
11.45,1,1,1,99000,630,1,0.9369
11.45,1,1,1,82000,1100,3,0.9369
11.45,3,1,1,80000,950,1,0.9369
11.45,1,1,1,76000,1100,3,0.9369
69.1571,2,3,1,73000,1200,3,0.9369
69.1571,3,3,1,90000,1200,3,0.9369
69.1571,1,3,1,98000,1200,3,0.9369
69.1571,3,3,1,65000,840,1,0.9369
69.1571,3,3,1,100000,1200,3,0.9369
69.1571,2,3,1,53000,960,1,0.9369
69.1571,1,3,1,96000,900,1,0.9369
69.1571,2,3,1,84000,1100,1,0.9369
15.7455,1,2,1,75000,1300,3,0.9369
69.1571,2,3,1,68000,1200,3,0.9369
69.1571,1,3,1,53000,1200,3,0.9369
18.5789,3,4,1,71000,820,1,0.9369
18.5789,1,1,1,90000,1200,3,0.9369
11.45,1,1,1,80000,1000,1,0.9369
11.45,3,1,1,82000,1100,3,0.9369
34.5786,3,3,2,140000,2000,3,1.0616
34.5786,2,3,2,130000,1700,3,1.0616
34.5786,3,3,2,140000,1700,3,1.0616
6.193,3,5,3,270000,2600,3,1.0616
9.2895,3,4,2,210000,1200,3,1.0616
9.2895,3,4,2,140000,1300,1,1.0616
9.2895,2,4,2,130000,1700,3,1.0616
9.2895,3,4,2,190000,2200,3,1.0616
9.2895,1,4,2,140000,1500,3,1.0616
9.2895,2,4,2,210000,1600,3,1.0616
9.2895,1,4,2,180000,1400,3,1.0616
9.2895,1,4,2,160000,2000,3,1.0616
9.2895,1,4,2,120000,910,1,1.0616
9.2895,2,4,2,150000,1500,3,1.0616
34.5786,3,3,2,87000,1700,3,1.0616
34.5786,3,3,2,140000,1900,3,1.0616
34.5786,3,3,2,130000,2100,3,1.0616
9.2895,2,4,2,96000,910,3,1.0616
9.2895,1,4,2,140000,1600,3,1.0616
9.2895,1,4,2,120000,1100,3,1.0616
9.2895,1,4,2,120000,1200,1,1.0616
9.2895,1,4,2,200000,1500,3,1.0616
9.2895,2,4,2,120000,910,1,1.0616
9.2895,3,4,2,140000,1600,3,1.0616
9.2895,1,4,2,260000,1200,1,1.0616
9.2895,1,4,2,150000,1600,3,1.0616
9.2895,1,4,2,150000,1600,3,1.0616
9.2895,1,4,2,130000,1300,1,1.0616
9.2895,1,4,2,160000,1800,3,1.0616
9.2895,1,4,2,180000,2200,3,1.0616
5.725,2,1,2,140000,1300,3,1.0616
34.5786,3,3,2,170000,2100,3,1.0616
34.5786,2,3,2,200000,2500,3,1.0616
34.5786,3,3,2,110000,1700,3,1.0616
34.5786,3,3,2,240000,2500,3,1.0616
34.5786,3,3,2,140000,1600,3,1.0616
34.5786,2,3,2,87000,1100,3,1.0616
34.5786,3,3,2,150000,2100,3,1.0616
34.5786,3,3,2,160000,1900,3,1.0616
34.5786,3,3,2,140000,1600,3,1.0616
6.193,3,5,3,310000,3100,3,1.0616
7.8727,2,2,2,170000,2000,3,1.0616
7.8727,2,2,2,130000,1300,3,1.0616
7.8727,2,2,2,170000,2000,3,1.0616
7.8727,1,2,2,140000,1600,3,1.0616
34.5786,2,2,2,160000,2000,3,1.0616
7.8727,3,2,2,160000,1600,3,1.0616
7.8727,1,2,2,150000,1700,3,1.0616
7.8727,2,2,2,150000,1600,3,1.0616
34.5786,3,3,2,120000,1700,3,1.0616
34.5786,3,3,2,140000,2100,3,1.0616
7.8727,1,2,2,150000,1600,3,1.0616
7.8727,1,2,2,250000,1800,3,1.0616
7.8727,1,2,2,89000,1300,3,1.0616
7.8727,1,2,2,120000,1100,3,1.0616
7.8727,1,2,2,120000,1600,3,1.0616
7.8727,1,2,2,120000,1200,3,1.0616
7.8727,1,2,2,89000,1200,3,1.0616
7.8727,1,2,2,170000,2100,3,1.0616
7.8727,1,2,2,140000,1600,3,1.0616
7.8727,1,2,2,160000,2000,3,1.0616
7.8727,1,2,2,160000,1800,3,1.0616
7.8727,1,2,2,150000,1600,3,1.0616
7.8727,1,2,2,160000,1800,3,1.0616
7.8727,1,2,2,120000,1300,3,1.0616
7.8727,1,2,2,110000,1600,3,1.0616
7.8727,1,2,2,150000,1800,3,1.0616
34.5786,3,3,2,110000,2200,3,1.0616
7.8727,1,2,2,100000,1500,3,1.0616
7.8727,2,2,2,89000,2000,3,1.0616
7.8727,3,2,2,160000,2000,3,1.0616
9.2895,2,4,2,170000,2100,3,1.0616
7.8727,3,2,2,200000,2400,3,1.0616
7.8727,4,2,2,190000,2400,3,1.0616
7.8727,3,2,2,140000,1600,3,1.0616
7.8727,2,2,2,190000,2400,3,1.0616
9.2895,1,4,2,150000,1700,3,1.0616
9.2895,3,4,2,140000,1600,3,1.0616
9.2895,3,4,2,200000,2100,3,1.0616
9.2895,2,4,2,170000,2200,3,1.0616
9.2895,3,4,2,140000,1600,3,1.0616
9.2895,2,4,2,160000,1800,3,1.0616
9.2895,3,4,2,96000,1600,3,1.0616
5.725,2,1,2,140000,1600,3,1.0616
34.5786,2,3,2,160000,1900,3,1.0616
7.8727,3,2,2,140000,1600,3,1.0616
7.8727,1,2,2,140000,1400,1,1.0616
34.5786,3,3,2,87000,1500,3,1.0616
9.2895,2,4,2,120000,1600,3,1.0616
9.2895,2,4,2,110000,1100,3,1.0616
6.193,2,5,3,180000,2900,3,1.0616
9.2895,3,4,2,210000,2100,3,1.0616
9.2895,2,4,2,120000,1100,1,1.0616
9.2895,2,4,2,140000,1500,3,1.0616
6.193,3,5,3,220000,2900,3,1.0616
5.725,1,1,2,210000,1700,3,1.0616
34.5786,2,1,2,170000,1900,3,1.0616
5.725,2,1,2,85000,1200,3,1.0616
5.725,1,1,2,130000,1300,3,1.0616
5.725,2,1,2,180000,1300,1,1.0616
5.725,1,1,2,140000,1600,3,1.0616
5.725,1,1,2,140000,1600,3,1.0616
5.725,1,1,2,210000,1700,3,1.0616
5.725,1,1,2,140000,1600,3,1.0616
5.725,3,1,2,100000,1300,3,1.0616
34.5786,2,3,2,87000,1600,3,1.0616
34.5786,3,3,2,170000,1700,3,1.0616
34.5786,2,3,2,240000,2500,3,1.0616
34.5786,2,3,2,180000,2300,3,1.0616
34.5786,3,3,2,140000,1800,3,1.0616
34.5786,2,3,2,170000,2000,3,1.0616
34.5786,3,3,2,130000,2300,3,1.0616
34.5786,2,3,2,110000,1900,3,1.0616
34.5786,3,3,2,240000,2500,3,1.0616
34.5786,3,3,2,130000,1700,3,1.0616
34.5786,3,3,2,150000,1700,3,1.0616
34.5786,3,3,2,190000,2500,3,1.0616
34.5786,3,3,2,130000,1900,3,1.0616
34.5786,2,3,2,87000,1600,3,1.0616
34.5786,3,3,2,190000,2500,3,1.0616
34.5786,3,3,2,150000,2500,3,1.0616
34.5786,2,3,2,190000,2500,3,1.0616
7.8727,3,2,2,160000,1400,1,1.0616
34.5786,3,3,2,190000,2500,3,1.0616
9.2895,3,4,2,220000,1400,1,1.0616
9.2895,3,4,2,180000,1200,1,1.0616
9.2895,3,4,2,220000,1100,1,1.0616
5.725,1,1,2,150000,1700,3,1.0616
5.725,3,1,2,120000,1600,1,1.0616
5.725,1,1,2,140000,1700,1,1.0616
5.725,1,1,2,200000,1700,1,1.0616
5.725,1,1,2,120000,990,1,1.0616
5.725,2,1,2,280000,1500,3,1.0616
5.725,1,1,2,130000,1600,3,1.0616
34.5786,2,3,2,170000,2000,3,1.0616
9.2895,1,4,2,150000,1700,3,1.0616
7.8727,3,2,2,110000,1600,3,1.0616
34.5786,2,3,2,210000,2500,3,1.0616
7.8727,1,2,2,160000,2000,3,1.0616
7.8727,3,2,2,120000,2000,3,1.0616
9.2895,2,4,2,140000,1600,3,1.0616
9.2895,2,4,2,230000,2200,3,1.0616
5.725,1,1,2,110000,990,1,1.0616
5.725,1,1,2,130000,1200,3,1.0616
5.725,1,1,2,150000,1700,3,1.0616
5.725,3,1,2,100000,1200,3,1.0616
5.725,2,1,2,120000,1600,3,1.0616
5.725,3,1,2,85000,1300,3,1.0616
5.725,1,1,2,140000,1600,3,1.0616
34.5786,3,3,2,110000,1600,3,1.0616
9.2895,3,4,2,96000,1200,3,1.0616
5.725,3,1,2,85000,990,1,1.0616
5.725,3,1,2,170000,1700,3,1.0616
34.5786,1,3,2,190000,2500,3,1.0616
7.8727,2,2,2,160000,1800,3,1.0616
7.8727,1,2,2,130000,1500,3,1.0616
70.25,2,3,1,53000,900,1,0.9875
70.25,1,3,1,85000,1300,1,0.9875
70.25,3,3,1,99000,1200,3,0.9875
21.1474,2,4,1,75000,900,3,0.9875
15.3545,1,4,1,84000,1100,3,0.9875
21.1474,1,4,1,84000,1100,3,0.9875
21.1474,1,4,1,84000,1100,3,0.9875
12.3167,1,3,1,69000,840,1,0.9875
70.25,3,3,1,100000,1100,3,0.9875
70.25,3,3,1,95000,1300,3,0.9875
15.3545,1,2,1,86000,1100,3,0.9875
15.3545,1,2,1,86000,1100,3,0.9875
15.3545,1,2,1,84000,1100,3,0.9875
15.3545,3,2,1,92000,1200,3,0.9875
15.3545,1,2,1,69000,740,1,0.9875
15.3545,2,2,1,120000,1200,3,0.9875
15.3545,1,2,1,120000,1100,3,0.9875
15.3545,1,2,1,56000,1100,3,0.9875
15.3545,1,2,1,84000,1100,1,0.9875
15.3545,1,2,1,88000,1100,3,0.9875
15.3545,1,2,1,80000,990,1,0.9875
70.25,3,3,1,92000,1200,3,0.9875
70.25,3,3,1,72000,840,1,0.9875
70.25,3,3,1,92000,1200,3,0.9875
15.3545,1,2,1,86000,1100,3,0.9875
15.3545,1,2,1,89000,1100,1,0.9875
15.3545,1,2,1,86000,1100,3,0.9875
15.3545,1,2,1,86000,1100,3,0.9875
15.3545,1,2,1,86000,1100,3,0.9875
70.25,3,3,1,65000,1300,3,0.9875
70.25,3,3,1,75000,900,1,0.9875
15.3545,1,2,1,87000,1100,3,0.9875
15.3545,3,2,1,70000,1100,3,0.9875
15.3545,1,2,1,62000,840,1,0.9875
21.1474,2,4,1,110000,1200,3,0.9875
15.3545,2,2,1,84000,1100,3,0.9875
21.1474,2,4,1,75000,900,3,0.9875
12.3167,1,1,1,86000,810,3,0.9875
15.3545,1,2,1,86000,1100,3,0.9875
21.1474,3,3,1,77000,920,3,0.9875
70.25,3,3,1,92000,1200,3,0.9875
70.25,2,3,1,84000,1100,3,0.9875
70.25,3,3,1,99000,1200,3,0.9875
70.25,3,3,1,72000,840,1,0.9875
70.25,3,3,1,92000,1200,3,0.9875
70.25,3,3,1,66000,840,1,0.9875
70.25,1,3,1,75000,920,3,0.9875
70.25,3,3,1,110000,1200,3,0.9875
70.25,2,3,1,96000,1300,3,0.9875
70.25,2,3,1,72000,840,3,0.9875
15.3545,1,2,1,56000,840,1,0.9875
21.1474,1,4,1,84000,1100,3,0.9875
21.1474,3,4,1,78000,920,1,0.9875
12.3167,1,1,1,97000,1200,3,0.9875
15.3545,1,1,1,150000,630,1,0.9875
12.3167,1,1,1,92000,1200,3,0.9875
15.3545,1,2,1,75000,1200,3,0.9875
15.3545,2,2,1,84000,1100,1,0.9875
35.125,2,3,2,150000,2500,3,1.0442
35.125,3,3,2,160000,1800,3,1.0442
10.5737,3,4,2,160000,1700,3,1.0442
7.0491,4,5,3,210000,2800,3,1.0442
7.0491,3,5,3,250000,2400,1,1.0442
10.5737,1,4,2,120000,1400,1,1.0442
10.5737,3,4,2,130000,1300,3,1.0442
10.5737,2,4,2,140000,1300,3,1.0442
10.5737,1,4,2,220000,1200,1,1.0442
10.5737,1,4,2,150000,1500,3,1.0442
10.5737,3,4,2,150000,1600,3,1.0442
10.5737,1,4,2,130000,1200,1,1.0442
10.5737,3,4,2,190000,1600,3,1.0442
10.5737,2,4,2,260000,1100,1,1.0442
10.5737,3,4,2,220000,1600,3,1.0442
10.5737,3,4,2,96000,2000,3,1.0442
10.5737,1,4,2,180000,1400,3,1.0442
10.5737,1,4,2,130000,1100,1,1.0442
35.125,3,3,2,110000,1800,3,1.0442
10.5737,1,4,2,130000,1200,3,1.0442
10.5737,1,4,2,150000,1500,3,1.0442
7.0491,2,5,3,190000,2600,3,1.0442
10.5737,1,4,2,300000,1600,3,1.0442
10.5737,1,4,2,150000,1500,3,1.0442
10.5737,1,4,2,160000,1600,3,1.0442
10.5737,1,4,2,300000,1600,3,1.0442
10.5737,1,4,2,96000,910,1,1.0442
10.5737,1,4,2,170000,1800,3,1.0442
10.5737,3,4,2,96000,910,1,1.0442
10.5737,2,4,2,96000,910,1,1.0442
10.5737,1,4,2,220000,1200,3,1.0442
10.5737,1,4,2,140000,1400,1,1.0442
10.5737,1,4,2,170000,1800,3,1.0442
10.5737,3,4,2,300000,1800,3,1.0442
6.1583,3,3,2,120000,1100,3,1.0442
6.1583,2,3,2,160000,1900,3,1.0442
35.125,3,3,2,170000,1800,3,1.0442
35.125,3,3,2,130000,1500,3,1.0442
35.125,3,3,2,210000,2500,3,1.0442
35.125,1,3,2,150000,1100,1,1.0442
35.125,3,3,2,180000,2000,3,1.0442
35.125,2,3,2,150000,1500,3,1.0442
35.125,2,3,2,140000,1900,3,1.0442
35.125,2,3,2,160000,1700,3,1.0442
10.5737,1,4,2,140000,1200,1,1.0442
10.5737,1,4,2,140000,1400,3,1.0442
7.6773,2,2,2,160000,1800,3,1.0442
7.6773,2,2,2,170000,1900,3,1.0442
7.6773,1,2,2,200000,2400,3,1.0442
7.6773,2,2,2,130000,1100,3,1.0442
7.6773,1,2,2,150000,1600,3,1.0442
7.6773,1,2,2,130000,1100,3,1.0442
7.6773,1,2,2,150000,1500,3,1.0442
7.6773,1,2,2,150000,1500,3,1.0442
7.6773,1,2,2,140000,1300,3,1.0442
35.125,3,3,2,180000,2000,3,1.0442
35.125,3,3,2,130000,1600,3,1.0442
35.125,2,3,2,100000,2000,3,1.0442
35.125,3,3,2,170000,1900,3,1.0442
35.125,3,3,2,170000,2500,3,1.0442
7.6773,1,2,2,150000,1600,3,1.0442
7.6773,1,2,2,89000,1100,3,1.0442
7.6773,3,2,2,120000,1800,3,1.0442
7.6773,1,2,2,150000,1600,3,1.0442
7.6773,1,2,2,250000,2400,3,1.0442
7.6773,2,2,2,140000,1800,3,1.0442
7.6773,1,2,2,150000,1600,3,1.0442
7.6773,1,2,2,160000,1600,3,1.0442
7.6773,1,2,2,120000,1800,3,1.0442
35.125,3,3,2,150000,1600,3,1.0442
35.125,3,3,2,150000,1900,3,1.0442
35.125,3,3,2,150000,2500,3,1.0442
35.125,2,3,2,190000,2100,1,1.0442
7.6773,1,2,2,140000,1700,3,1.0442
7.6773,3,2,2,110000,1300,3,1.0442
7.6773,2,2,2,150000,2000,3,1.0442
7.6773,3,2,2,150000,1900,3,1.0442
10.5737,3,4,2,180000,2000,3,1.0442
10.5737,3,4,2,130000,1200,3,1.0442
7.6773,3,2,2,140000,1300,3,1.0442
7.6773,1,2,2,150000,1700,3,1.0442
7.6773,2,2,2,250000,2400,3,1.0442
10.5737,2,4,2,96000,1500,3,1.0442
10.5737,2,4,2,140000,2000,3,1.0442
6.1583,3,1,2,130000,1300,3,1.0442
6.1583,1,1,2,150000,1600,3,1.0442
35.125,2,3,2,160000,1900,3,1.0442
35.125,3,3,2,120000,1900,3,1.0442
7.6773,3,2,2,170000,2400,3,1.0442
7.6773,1,2,2,89000,1300,3,1.0442
35.125,2,3,2,240000,1900,3,1.0442
10.5737,2,4,2,96000,2000,1,1.0442
10.5737,3,4,2,180000,1700,3,1.0442
10.5737,2,4,2,96000,1800,3,1.0442
10.5737,2,4,2,160000,1800,3,1.0442
10.5737,2,4,2,110000,1800,3,1.0442
10.5737,3,4,2,120000,2000,3,1.0442
10.5737,2,4,2,170000,1800,3,1.0442
10.5737,2,4,2,170000,1900,1,1.0442
6.1583,3,1,2,96000,1700,3,1.0442
6.1583,1,1,2,150000,1700,3,1.0442
6.1583,3,1,2,130000,1900,3,1.0442
6.1583,3,1,2,85000,990,3,1.0442
6.1583,1,1,2,280000,1700,1,1.0442
6.1583,1,1,2,160000,1900,3,1.0442
6.1583,3,1,2,85000,1700,3,1.0442
35.125,2,3,2,130000,1600,3,1.0442
35.125,3,3,2,120000,1900,3,1.0442
35.125,3,3,2,170000,1900,3,1.0442
35.125,3,3,2,130000,1600,3,1.0442
35.125,3,3,2,120000,1600,3,1.0442
35.125,2,3,2,140000,1700,3,1.0442
35.125,2,3,2,200000,2500,3,1.0442
35.125,3,3,2,130000,2500,3,1.0442
35.125,2,3,2,100000,1600,3,1.0442
35.125,3,3,2,170000,1900,3,1.0442
35.125,3,3,2,160000,1700,3,1.0442
35.125,3,3,2,150000,1500,3,1.0442
35.125,2,3,2,190000,2300,3,1.0442
35.125,3,3,2,180000,2100,3,1.0442
35.125,3,3,2,110000,1400,3,1.0442
35.125,3,3,2,190000,2500,3,1.0442
35.125,3,3,2,160000,1700,3,1.0442
35.125,3,3,2,110000,1100,3,1.0442
35.125,2,3,2,110000,1700,3,1.0442
35.125,3,3,2,120000,1900,3,1.0442
35.125,3,3,2,140000,1400,3,1.0442
35.125,2,3,2,170000,1700,3,1.0442
35.125,3,3,2,140000,1100,3,1.0442
35.125,2,3,2,150000,1600,3,1.0442
35.125,3,3,2,190000,2000,3,1.0442
35.125,3,3,2,190000,2000,3,1.0442
7.6773,3,3,2,210000,2200,3,1.0442
10.5737,3,4,2,140000,910,1,1.0442
7.0491,3,5,3,230000,2600,3,1.0442
10.5737,3,4,2,170000,1800,3,1.0442
10.5737,1,4,2,140000,1400,3,1.0442
10.5737,1,4,2,150000,1600,3,1.0442
10.5737,3,4,2,200000,1400,3,1.0442
10.5737,1,4,2,130000,1200,1,1.0442
7.6773,4,4,2,160000,1700,3,1.0442
6.1583,1,1,2,140000,1700,3,1.0442
6.1583,3,1,2,130000,1500,1,1.0442
6.1583,3,1,2,180000,1900,3,1.0442
6.1583,1,1,2,280000,1600,1,1.0442
6.1583,1,1,2,180000,1900,3,1.0442
6.1583,3,1,2,150000,1600,3,1.0442
6.1583,3,1,2,190000,1900,3,1.0442
35.125,2,3,2,140000,1100,1,1.0442
35.125,3,3,2,140000,1700,3,1.0442
7.6773,1,2,2,170000,1900,3,1.0442
7.6773,2,2,2,250000,2400,3,1.0442
7.6773,3,2,2,160000,1500,3,1.0442
7.6773,1,2,2,160000,1800,3,1.0442
7.6773,1,2,2,150000,1600,1,1.0442
7.6773,1,2,2,130000,1200,1,1.0442
7.6773,1,2,2,170000,1800,3,1.0442
35.125,3,3,2,170000,1800,3,1.0442
10.5737,3,4,2,220000,2200,3,1.0442
6.1583,1,1,2,150000,1600,3,1.0442
6.1583,3,1,2,150000,1600,3,1.0442
6.1583,1,1,2,160000,1700,3,1.0442
6.1583,1,1,2,150000,1600,3,1.0442
6.1583,3,1,2,140000,1400,3,1.0442
6.1583,1,1,2,160000,1700,3,1.0442
6.1583,1,1,2,140000,1400,3,1.0442
6.1583,1,1,2,160000,1900,3,1.0442
6.1583,1,1,2,110000,1600,3,1.0442
6.1583,1,1,2,140000,1300,3,1.0442
35.125,3,3,2,170000,1900,3,1.0442
7.6773,3,2,2,250000,1600,3,1.0442
10.5737,2,4,2,160000,1800,1,1.0442
6.1583,1,1,2,280000,1900,3,1.0442
6.1583,3,1,2,110000,1700,3,1.0442
6.1583,2,1,2,100000,1600,3,1.0442
6.1583,1,1,2,85000,1300,3,1.0442
6.1583,1,1,2,190000,1300,1,1.0442
35.125,3,3,2,170000,1900,3,1.0442
35.125,3,3,2,87000,2100,3,1.0442
7.6773,3,2,2,150000,1700,3,1.0442
7.6773,2,2,2,140000,1600,3,1.0442
86.6571,3,3,1,53000,980,3,0.9732
86.6571,2,3,1,99000,1200,3,0.9732
25.4316,1,4,1,150000,900,3,0.9732
25.4316,1,4,1,63000,590,1,0.9732
25.4316,1,4,1,92000,1100,3,0.9732
25.4316,1,4,1,78000,1100,3,0.9732
25.4316,1,4,1,92000,1100,3,0.9732
16.2333,1,1,1,120000,630,1,0.9732
16.2333,1,1,1,73000,750,1,0.9732
86.6571,2,3,1,83000,920,3,0.9732
18.4727,1,2,1,65000,1100,1,0.9732
18.4727,1,2,1,90000,1100,3,0.9732
18.4727,1,2,1,95000,960,1,0.9732
18.4727,1,2,1,90000,1100,3,0.9732
18.4727,1,2,1,100000,1300,3,0.9732
18.4727,1,2,1,83000,920,1,0.9732
18.4727,1,2,1,99000,1200,3,0.9732
18.4727,3,2,1,89000,1200,3,0.9732
18.4727,1,2,1,99000,1200,3,0.9732
86.6571,3,3,1,99000,1200,3,0.9732
86.6571,3,3,1,85000,960,1,0.9732
86.6571,1,3,1,63000,1200,3,0.9732
18.4727,1,2,1,78000,840,1,0.9732
18.4727,1,2,1,56000,920,3,0.9732
18.4727,1,2,1,81000,740,1,0.9732
18.4727,1,2,1,120000,1200,3,0.9732
18.4727,3,2,1,100000,1300,3,0.9732
18.4727,3,2,1,120000,1300,3,0.9732
18.4727,1,2,1,100000,1100,1,0.9732
25.4316,2,4,1,92000,1100,3,0.9732
86.6571,3,3,1,99000,1200,3,0.9732
18.4727,1,2,1,90000,1100,3,0.9732
18.4727,1,2,1,79000,1100,1,0.9732
18.4727,1,2,1,85000,960,1,0.9732
86.6571,1,3,1,53000,900,1,0.9732
16.2333,1,1,1,55000,980,1,0.9732
16.2333,1,1,1,150000,1100,3,0.9732
86.6571,3,3,1,99000,1200,3,0.9732
86.6571,3,3,1,78000,840,1,0.9732
86.6571,3,3,1,86000,980,3,0.9732
86.6571,3,3,1,59000,1100,3,0.9732
86.6571,3,3,1,100000,1200,3,0.9732
25.4316,1,4,1,79000,860,1,0.9732
16.2333,1,1,1,150000,750,1,0.9732
18.4727,1,2,1,84000,960,1,0.9732
18.4727,3,2,1,99000,1200,3,0.9732
18.4727,3,2,1,120000,1200,3,0.9732
16.2333,1,1,1,94000,1100,3,0.9732
16.2333,1,1,1,85000,960,1,0.9732
16.2333,2,1,1,93000,960,1,0.9732
18.4727,1,2,1,85000,960,1,0.9732
16.2333,1,1,1,85000,950,1,0.9732
16.2333,1,1,1,90000,1100,1,0.9732
16.2333,1,1,1,90000,1100,1,0.9732
86.6571,1,3,1,130000,1300,3,0.9732
18.4727,1,2,1,88000,1300,3,0.9732
12.7158,3,4,2,140000,1500,3,1.0465
12.7158,2,4,2,210000,2100,3,1.0465
12.7158,2,4,2,220000,1800,3,1.0465
12.7158,3,4,2,96000,1300,3,1.0465
12.7158,3,4,2,170000,1900,3,1.0465
12.7158,2,4,2,130000,1600,3,1.0465
12.7158,3,4,2,120000,1300,1,1.0465
12.7158,1,4,2,150000,1500,3,1.0465
12.7158,3,4,2,180000,1700,3,1.0465
12.7158,1,4,2,180000,1700,3,1.0465
12.7158,2,4,2,300000,1500,3,1.0465
8.4772,3,5,3,290000,3100,3,1.0465
12.7158,1,4,2,210000,1600,3,1.0465
12.7158,3,4,2,190000,1700,1,1.0465
12.7158,3,4,2,170000,1700,3,1.0465
43.3286,3,3,2,140000,2500,3,1.0465
9.2364,3,3,2,130000,1700,3,1.0465
43.3286,3,3,2,150000,1600,3,1.0465
12.7158,1,4,2,150000,910,3,1.0465
12.7158,1,4,2,300000,1600,3,1.0465
12.7158,1,4,2,120000,910,3,1.0465
12.7158,1,4,2,300000,1600,3,1.0465
12.7158,1,4,2,300000,1500,3,1.0465
12.7158,1,4,2,150000,1600,3,1.0465
12.7158,2,4,2,140000,1200,3,1.0465
12.7158,1,4,2,96000,1800,3,1.0465
12.7158,1,4,2,170000,1800,1,1.0465
12.7158,1,4,2,200000,1200,3,1.0465
8.4772,1,5,3,260000,2000,3,1.0465
12.7158,1,4,2,180000,2000,3,1.0465
12.7158,1,4,2,180000,2200,3,1.0465
12.7158,3,4,2,180000,1500,3,1.0465
12.7158,1,4,2,180000,2100,3,1.0465
9.2364,1,3,2,150000,2000,3,1.0465
43.3286,1,3,2,170000,1900,3,1.0465
