LOCATION,REGION,SQFT,WGTADJ,PRICE
1,3,1200.0,,90000
2,3,1200.0,,82000
3,3,1100.0,,68000
2,4,1200.0,,90000
1,4,1200.0,,90000
1,4,920.0,,76000
1,4,1100.0,,85000
1,4,820.0,,71000
3,4,1100.0,,85000
1,4,1300.0,,94000
1,4,1100.0,,85000
2,1,1200.0,,96000
2,3,660.0,,69000
1,2,740.0,,66000
1,2,1200.0,,90000
1,2,1100.0,,82000
1,2,1300.0,,94000
1,2,740.0,,91000
1,2,960.0,,78000
1,2,740.0,,69000
1,2,960.0,,78000
3,3,900.0,,75000
2,3,1300.0,,73000
1,2,1200.0,,90000
1,2,1200.0,,87000
1,2,1100.0,,71000
1,2,1300.0,,94000
1,2,1200.0,,65000
1,2,1100.0,,67000
1,2,1200.0,,100000
1,2,920.0,,76000
1,2,1100.0,,82000
1,2,1100.0,,82000
3,4,1300.0,,94000
2,2,1200.0,,90000
1,1,780.0,,93000
1,3,920.0,,98000
1,2,1200.0,,56000
3,2,1200.0,,92000
3,3,840.0,,53000
2,4,820.0,,57000
1,1,960.0,,95000
1,1,630.0,,99000
1,1,1100.0,,82000
3,1,950.0,,80000
1,1,1100.0,,76000
2,3,1200.0,,73000
3,3,1200.0,,90000
1,3,1200.0,,98000
3,3,840.0,,65000
3,3,1200.0,,100000
2,3,960.0,,53000
1,3,900.0,,96000
2,3,1100.0,,84000
1,2,1300.0,,75000
2,3,1200.0,,68000
1,3,1200.0,,53000
3,4,820.0,,71000
1,1,1200.0,,90000
1,1,1000.0,,80000
3,1,1100.0,,82000
3,3,2000.0,1.0616,140000
2,3,1700.0,1.0616,130000
3,3,1700.0,1.0616,140000
3,5,,1.0616,270000
3,4,1200.0,1.0616,210000
3,4,1300.0,1.0616,140000
2,4,1700.0,1.0616,130000
3,4,2200.0,1.0616,190000
1,4,1500.0,1.0616,140000
2,4,1600.0,1.0616,210000
1,4,1400.0,1.0616,180000
1,4,2000.0,1.0616,160000
1,4,910.0,1.0616,120000
2,4,1500.0,1.0616,150000
3,3,1700.0,1.0616,87000
3,3,1900.0,1.0616,140000
3,3,2100.0,1.0616,130000
2,4,910.0,1.0616,96000
1,4,1600.0,1.0616,140000
1,4,1100.0,1.0616,120000
1,4,1200.0,1.0616,120000
1,4,1500.0,1.0616,200000
2,4,910.0,1.0616,120000
3,4,1600.0,1.0616,140000
1,4,1200.0,1.0616,260000
1,4,1600.0,1.0616,150000
1,4,1600.0,1.0616,150000
1,4,1300.0,1.0616,130000
1,4,1800.0,1.0616,160000
1,4,2200.0,1.0616,180000
2,1,1300.0,1.0616,140000
3,3,2100.0,1.0616,170000
2,3,,1.0616,200000
3,3,1700.0,1.0616,110000
3,3,,1.0616,240000
3,3,1600.0,1.0616,140000
2,3,1100.0,1.0616,87000
3,3,2100.0,1.0616,150000
3,3,1900.0,1.0616,160000
3,3,1600.0,1.0616,140000
3,5,,1.0616,310000
2,2,2000.0,1.0616,170000
2,2,1300.0,1.0616,130000
2,2,2000.0,1.0616,170000
1,2,1600.0,1.0616,140000
2,2,2000.0,1.0616,160000
3,2,1600.0,1.0616,160000
1,2,1700.0,1.0616,150000
2,2,1600.0,1.0616,150000
3,3,1700.0,1.0616,120000
3,3,2100.0,1.0616,140000
1,2,1600.0,1.0616,150000
1,2,1800.0,1.0616,250000
1,2,1300.0,1.0616,89000
1,2,1100.0,1.0616,120000
1,2,1600.0,1.0616,120000
1,2,1200.0,1.0616,120000
1,2,1200.0,1.0616,89000
1,2,2100.0,1.0616,170000
1,2,1600.0,1.0616,140000
1,2,2000.0,1.0616,160000
1,2,1800.0,1.0616,160000
1,2,1600.0,1.0616,150000
1,2,1800.0,1.0616,160000
1,2,1300.0,1.0616,120000
1,2,1600.0,1.0616,110000
1,2,1800.0,1.0616,150000
3,3,2200.0,1.0616,110000
1,2,1500.0,1.0616,100000
2,2,2000.0,1.0616,89000
3,2,2000.0,1.0616,160000
2,4,2100.0,1.0616,170000
3,2,2400.0,1.0616,200000
4,2,2400.0,1.0616,190000
3,2,1600.0,1.0616,140000
2,2,2400.0,1.0616,190000
1,4,1700.0,1.0616,150000
3,4,1600.0,1.0616,140000
3,4,2100.0,1.0616,200000
2,4,2200.0,1.0616,170000
3,4,1600.0,1.0616,140000
2,4,1800.0,1.0616,160000
3,4,1600.0,1.0616,96000
2,1,1600.0,1.0616,140000
2,3,1900.0,1.0616,160000
3,2,1600.0,1.0616,140000
1,2,1400.0,1.0616,140000
3,3,1500.0,1.0616,87000
2,4,1600.0,1.0616,120000
2,4,1100.0,1.0616,110000
2,5,,1.0616,180000
3,4,2100.0,1.0616,210000
2,4,1100.0,1.0616,120000
2,4,1500.0,1.0616,140000
3,5,,1.0616,220000
1,1,1700.0,1.0616,210000
2,1,1900.0,1.0616,170000
2,1,1200.0,1.0616,85000
1,1,1300.0,1.0616,130000
2,1,1300.0,1.0616,180000
1,1,1600.0,1.0616,140000
1,1,1600.0,1.0616,140000
1,1,1700.0,1.0616,210000
1,1,1600.0,1.0616,140000
3,1,1300.0,1.0616,100000
2,3,1600.0,1.0616,87000
3,3,1700.0,1.0616,170000
2,3,,1.0616,240000
2,3,2300.0,1.0616,180000
3,3,1800.0,1.0616,140000
2,3,2000.0,1.0616,170000
3,3,2300.0,1.0616,130000
2,3,1900.0,1.0616,110000
3,3,,1.0616,240000
3,3,1700.0,1.0616,130000
3,3,1700.0,1.0616,150000
3,3,,1.0616,190000
3,3,1900.0,1.0616,130000
2,3,1600.0,1.0616,87000
3,3,,1.0616,190000
3,3,,1.0616,150000
2,3,,1.0616,190000
3,2,1400.0,1.0616,160000
3,3,,1.0616,190000
3,4,1400.0,1.0616,220000
3,4,1200.0,1.0616,180000
3,4,1100.0,1.0616,220000
1,1,1700.0,1.0616,150000
3,1,1600.0,1.0616,120000
1,1,1700.0,1.0616,140000
1,1,1700.0,1.0616,200000
1,1,990.0,1.0616,120000
2,1,1500.0,1.0616,280000
1,1,1600.0,1.0616,130000
2,3,2000.0,1.0616,170000
1,4,1700.0,1.0616,150000
3,2,1600.0,1.0616,110000
2,3,,1.0616,210000
1,2,2000.0,1.0616,160000
3,2,2000.0,1.0616,120000
2,4,1600.0,1.0616,140000
2,4,2200.0,1.0616,230000
1,1,990.0,1.0616,110000
1,1,1200.0,1.0616,130000
1,1,1700.0,1.0616,150000
3,1,1200.0,1.0616,100000
2,1,1600.0,1.0616,120000
3,1,1300.0,1.0616,85000
1,1,1600.0,1.0616,140000
3,3,1600.0,1.0616,110000
3,4,1200.0,1.0616,96000
3,1,990.0,1.0616,85000
3,1,1700.0,1.0616,170000
1,3,,1.0616,190000
2,2,1800.0,1.0616,160000
1,2,1500.0,1.0616,130000
2,3,900.0,0.9875,53000
1,3,1300.0,0.9875,85000
3,3,1200.0,0.9875,99000
2,4,900.0,0.9875,75000
1,4,1100.0,0.9875,84000
1,4,1100.0,0.9875,84000
1,4,1100.0,0.9875,84000
1,3,840.0,0.9875,69000
3,3,1100.0,0.9875,100000
3,3,1300.0,0.9875,95000
1,2,1100.0,0.9875,86000
1,2,1100.0,0.9875,86000
1,2,1100.0,0.9875,84000
3,2,1200.0,0.9875,92000
1,2,740.0,0.9875,69000
2,2,1200.0,0.9875,120000
1,2,1100.0,0.9875,120000
1,2,1100.0,0.9875,56000
1,2,1100.0,0.9875,84000
1,2,1100.0,0.9875,88000
1,2,990.0,0.9875,80000
3,3,1200.0,0.9875,92000
3,3,840.0,0.9875,72000
3,3,1200.0,0.9875,92000
1,2,1100.0,0.9875,86000
1,2,1100.0,0.9875,89000
1,2,1100.0,0.9875,86000
1,2,1100.0,0.9875,86000
1,2,1100.0,0.9875,86000
3,3,1300.0,0.9875,65000
3,3,900.0,0.9875,75000
1,2,1100.0,0.9875,87000
3,2,1100.0,0.9875,70000
1,2,840.0,0.9875,62000
2,4,1200.0,0.9875,110000
2,2,1100.0,0.9875,84000
2,4,900.0,0.9875,75000
1,1,810.0,0.9875,86000
1,2,1100.0,0.9875,86000
3,3,920.0,0.9875,77000
3,3,1200.0,0.9875,92000
2,3,1100.0,0.9875,84000
3,3,1200.0,0.9875,99000
3,3,840.0,0.9875,72000
3,3,1200.0,0.9875,92000
3,3,840.0,0.9875,66000
1,3,920.0,0.9875,75000
3,3,1200.0,0.9875,110000
2,3,1300.0,0.9875,96000
2,3,840.0,0.9875,72000
1,2,840.0,0.9875,56000
1,4,1100.0,0.9875,84000
3,4,920.0,0.9875,78000
1,1,1200.0,0.9875,97000
1,1,630.0,0.9875,150000
1,1,1200.0,0.9875,92000
1,2,1200.0,0.9875,75000
2,2,1100.0,0.9875,84000
2,3,,1.0442,150000
3,3,1800.0,1.0442,160000
3,4,1700.0,1.0442,160000
4,5,,1.0442,210000
3,5,2400.0,1.0442,250000
1,4,1400.0,1.0442,120000
3,4,1300.0,1.0442,130000
2,4,1300.0,1.0442,140000
1,4,1200.0,1.0442,220000
1,4,1500.0,1.0442,150000
3,4,1600.0,1.0442,150000
1,4,1200.0,1.0442,130000
3,4,1600.0,1.0442,190000
2,4,1100.0,1.0442,260000
3,4,1600.0,1.0442,220000
3,4,2000.0,1.0442,96000
1,4,1400.0,1.0442,180000
1,4,1100.0,1.0442,130000
3,3,1800.0,1.0442,110000
1,4,1200.0,1.0442,130000
1,4,1500.0,1.0442,150000
2,5,,1.0442,190000
1,4,1600.0,1.0442,300000
1,4,1500.0,1.0442,150000
1,4,1600.0,1.0442,160000
1,4,1600.0,1.0442,300000
1,4,910.0,1.0442,96000
1,4,1800.0,1.0442,170000
3,4,910.0,1.0442,96000
2,4,910.0,1.0442,96000
1,4,1200.0,1.0442,220000
1,4,1400.0,1.0442,140000
1,4,1800.0,1.0442,170000
3,4,1800.0,1.0442,300000
3,3,1100.0,1.0442,120000
2,3,1900.0,1.0442,160000
3,3,1800.0,1.0442,170000
3,3,1500.0,1.0442,130000
3,3,,1.0442,210000
1,3,1100.0,1.0442,150000
3,3,2000.0,1.0442,180000
2,3,1500.0,1.0442,150000
2,3,1900.0,1.0442,140000
2,3,1700.0,1.0442,160000
1,4,1200.0,1.0442,140000
1,4,1400.0,1.0442,140000
2,2,1800.0,1.0442,160000
2,2,1900.0,1.0442,170000
1,2,2400.0,1.0442,200000
2,2,1100.0,1.0442,130000
1,2,1600.0,1.0442,150000
1,2,1100.0,1.0442,130000
1,2,1500.0,1.0442,150000
1,2,1500.0,1.0442,150000
1,2,1300.0,1.0442,140000
3,3,2000.0,1.0442,180000
3,3,1600.0,1.0442,130000
2,3,2000.0,1.0442,100000
3,3,1900.0,1.0442,170000
3,3,,1.0442,170000
1,2,1600.0,1.0442,150000
1,2,1100.0,1.0442,89000
3,2,1800.0,1.0442,120000
1,2,1600.0,1.0442,150000
1,2,2400.0,1.0442,250000
2,2,1800.0,1.0442,140000
1,2,1600.0,1.0442,150000
1,2,1600.0,1.0442,160000
1,2,1800.0,1.0442,120000
3,3,1600.0,1.0442,150000
3,3,1900.0,1.0442,150000
3,3,,1.0442,150000
2,3,2100.0,1.0442,190000
1,2,1700.0,1.0442,140000
3,2,1300.0,1.0442,110000
2,2,2000.0,1.0442,150000
3,2,1900.0,1.0442,150000
3,4,2000.0,1.0442,180000
3,4,1200.0,1.0442,130000
3,2,1300.0,1.0442,140000
1,2,1700.0,1.0442,150000
2,2,2400.0,1.0442,250000
2,4,1500.0,1.0442,96000
2,4,2000.0,1.0442,140000
3,1,1300.0,1.0442,130000
1,1,1600.0,1.0442,150000
2,3,1900.0,1.0442,160000
3,3,1900.0,1.0442,120000
3,2,2400.0,1.0442,170000
1,2,1300.0,1.0442,89000
2,3,1900.0,1.0442,240000
2,4,2000.0,1.0442,96000
3,4,1700.0,1.0442,180000
2,4,1800.0,1.0442,96000
2,4,1800.0,1.0442,160000
2,4,1800.0,1.0442,110000
3,4,2000.0,1.0442,120000
2,4,1800.0,1.0442,170000
2,4,1900.0,1.0442,170000
3,1,1700.0,1.0442,96000
1,1,1700.0,1.0442,150000
3,1,1900.0,1.0442,130000
3,1,990.0,1.0442,85000
1,1,1700.0,1.0442,280000
1,1,1900.0,1.0442,160000
3,1,1700.0,1.0442,85000
2,3,1600.0,1.0442,130000
3,3,1900.0,1.0442,120000
3,3,1900.0,1.0442,170000
3,3,1600.0,1.0442,130000
3,3,1600.0,1.0442,120000
2,3,1700.0,1.0442,140000
2,3,,1.0442,200000
3,3,,1.0442,130000
2,3,1600.0,1.0442,100000
3,3,1900.0,1.0442,170000
3,3,1700.0,1.0442,160000
3,3,1500.0,1.0442,150000
2,3,2300.0,1.0442,190000
3,3,2100.0,1.0442,180000
3,3,1400.0,1.0442,110000
3,3,,1.0442,190000
3,3,1700.0,1.0442,160000
3,3,1100.0,1.0442,110000
2,3,1700.0,1.0442,110000
3,3,1900.0,1.0442,120000
3,3,1400.0,1.0442,140000
2,3,1700.0,1.0442,170000
3,3,1100.0,1.0442,140000
2,3,1600.0,1.0442,150000
3,3,2000.0,1.0442,190000
3,3,2000.0,1.0442,190000
3,3,2200.0,1.0442,210000
3,4,910.0,1.0442,140000
3,5,,1.0442,230000
3,4,1800.0,1.0442,170000
1,4,1400.0,1.0442,140000
1,4,1600.0,1.0442,150000
3,4,1400.0,1.0442,200000
1,4,1200.0,1.0442,130000
4,4,1700.0,1.0442,160000
1,1,1700.0,1.0442,140000
3,1,1500.0,1.0442,130000
3,1,1900.0,1.0442,180000
1,1,1600.0,1.0442,280000
1,1,1900.0,1.0442,180000
3,1,1600.0,1.0442,150000
3,1,1900.0,1.0442,190000
2,3,1100.0,1.0442,140000
3,3,1700.0,1.0442,140000
1,2,1900.0,1.0442,170000
2,2,2400.0,1.0442,250000
3,2,1500.0,1.0442,160000
1,2,1800.0,1.0442,160000
1,2,1600.0,1.0442,150000
1,2,1200.0,1.0442,130000
1,2,1800.0,1.0442,170000
3,3,1800.0,1.0442,170000
3,4,2200.0,1.0442,220000
1,1,1600.0,1.0442,150000
3,1,1600.0,1.0442,150000
1,1,1700.0,1.0442,160000
1,1,1600.0,1.0442,150000
3,1,1400.0,1.0442,140000
1,1,1700.0,1.0442,160000
1,1,1400.0,1.0442,140000
1,1,1900.0,1.0442,160000
1,1,1600.0,1.0442,110000
1,1,1300.0,1.0442,140000
3,3,1900.0,1.0442,170000
3,2,1600.0,1.0442,250000
2,4,1800.0,1.0442,160000
1,1,1900.0,1.0442,280000
3,1,1700.0,1.0442,110000
2,1,1600.0,1.0442,100000
1,1,1300.0,1.0442,85000
1,1,1300.0,1.0442,190000
3,3,1900.0,1.0442,170000
3,3,2100.0,1.0442,87000
3,2,1700.0,1.0442,150000
2,2,1600.0,1.0442,140000
3,3,980.0,,53000
2,3,1200.0,,99000
1,4,900.0,,150000
1,4,590.0,,63000
1,4,1100.0,,92000
1,4,1100.0,,78000
1,4,1100.0,,92000
1,1,630.0,,120000
1,1,750.0,,73000
2,3,920.0,,83000
1,2,1100.0,,65000
1,2,1100.0,,90000
1,2,960.0,,95000
1,2,1100.0,,90000
1,2,1300.0,,100000
1,2,920.0,,83000
1,2,1200.0,,99000
3,2,1200.0,,89000
1,2,1200.0,,99000
3,3,1200.0,,99000
3,3,960.0,,85000
1,3,1200.0,,63000
1,2,840.0,,78000
1,2,920.0,,56000
1,2,740.0,,81000
1,2,1200.0,,120000
3,2,1300.0,,100000
3,2,1300.0,,120000
1,2,1100.0,,100000
2,4,1100.0,,92000
3,3,1200.0,,99000
1,2,1100.0,,90000
1,2,1100.0,,79000
1,2,960.0,,85000
1,3,900.0,,53000
1,1,980.0,,55000
1,1,1100.0,,150000
3,3,1200.0,,99000
3,3,840.0,,78000
3,3,980.0,,86000
3,3,1100.0,,59000
3,3,1200.0,,100000
1,4,860.0,,79000
1,1,750.0,,150000
1,2,960.0,,84000
3,2,1200.0,,99000
3,2,1200.0,,120000
1,1,1100.0,,94000
1,1,960.0,,85000
2,1,960.0,,93000
1,2,960.0,,85000
1,1,950.0,,85000
1,1,1100.0,,90000
1,1,1100.0,,90000
1,3,1300.0,,130000
1,2,1300.0,,88000
3,4,1500.0,1.0465,140000
2,4,2100.0,1.0465,210000
2,4,1800.0,1.0465,220000
3,4,1300.0,1.0465,96000
3,4,1900.0,1.0465,170000
2,4,1600.0,1.0465,130000
3,4,1300.0,1.0465,120000
1,4,1500.0,1.0465,150000
3,4,1700.0,1.0465,180000
1,4,1700.0,1.0465,180000
2,4,1500.0,1.0465,300000
3,5,,1.0465,290000
1,4,1600.0,1.0465,210000
3,4,1700.0,1.0465,190000
3,4,1700.0,1.0465,170000
3,3,,1.0465,140000
3,3,1700.0,1.0465,130000
3,3,1600.0,1.0465,150000
1,4,910.0,1.0465,150000
1,4,1600.0,1.0465,300000
1,4,910.0,1.0465,120000
1,4,1600.0,1.0465,300000
1,4,1500.0,1.0465,300000
1,4,1600.0,1.0465,150000
2,4,1200.0,1.0465,140000
1,4,1800.0,1.0465,96000
1,4,1800.0,1.0465,170000
1,4,1200.0,1.0465,200000
1,5,2000.0,1.0465,260000
1,4,2000.0,1.0465,180000
1,4,2200.0,1.0465,180000
3,4,1500.0,1.0465,180000
1,4,2100.0,1.0465,180000
1,3,2000.0,1.0465,150000
1,3,1900.0,1.0465,170000
3,3,1100.0,1.0465,110000
3,3,2400.0,1.0465,240000
2,3,1100.0,1.0465,130000
3,3,1100.0,1.0465,87000
3,3,2100.0,1.0465,170000
3,3,1600.0,1.0465,140000
3,3,1700.0,1.0465,120000
1,3,1100.0,1.0465,120000
3,3,1700.0,1.0465,160000
1,3,2100.0,1.0465,180000
2,3,1700.0,1.0465,160000
2,3,1800.0,1.0465,120000
1,4,1600.0,1.0465,150000
3,2,1800.0,1.0465,160000
1,2,1600.0,1.0465,250000
1,2,1200.0,1.0465,130000
1,5,,1.0465,230000
2,2,1200.0,1.0465,130000
1,2,1800.0,1.0465,160000
1,2,1700.0,1.0465,160000
1,2,1700.0,1.0465,100000
1,2,1500.0,1.0465,130000
1,2,1600.0,1.0465,150000
3,2,2000.0,1.0465,150000
3,3,1700.0,1.0465,160000
3,3,1900.0,1.0465,140000
1,2,1800.0,1.0465,130000
1,2,1700.0,1.0465,160000
1,2,1900.0,1.0465,170000
3,2,1300.0,1.0465,120000
1,2,1600.0,1.0465,150000
1,2,2100.0,1.0465,180000
1,2,1700.0,1.0465,160000
1,2,1600.0,1.0465,150000
2,3,1500.0,1.0465,110000
3,3,2000.0,1.0465,170000
3,2,2000.0,1.0465,110000
3,2,1800.0,1.0465,150000
3,2,1700.0,1.0465,160000
3,2,1800.0,1.0465,160000
3,2,1600.0,1.0465,110000
3,4,1400.0,1.0465,140000
2,2,1600.0,1.0465,150000
3,2,1700.0,1.0465,160000
2,2,2400.0,1.0465,190000
1,4,1300.0,1.0465,140000
1,4,1600.0,1.0465,170000
1,4,1100.0,1.0465,130000
2,4,1100.0,1.0465,130000
1,4,1500.0,1.0465,150000
2,4,1700.0,1.0465,160000
2,4,1600.0,1.0465,150000
2,4,2100.0,1.0465,96000
1,1,1200.0,1.0465,170000
3,3,1800.0,1.0465,170000
3,3,1600.0,1.0465,120000
3,3,2000.0,1.0465,180000
3,3,,1.0465,200000
1,2,1600.0,1.0465,120000
2,3,2000.0,1.0465,170000
3,3,2000.0,1.0465,180000
2,3,1600.0,1.0465,140000
2,4,1600.0,1.0465,150000
4,4,1900.0,1.0465,160000
2,4,1500.0,1.0465,150000
1,4,1500.0,1.0465,150000
2,5,,1.0465,180000
2,4,1900.0,1.0465,170000
2,5,1800.0,1.0465,280000
2,4,1300.0,1.0465,140000
1,1,1100.0,1.0465,85000
1,1,1700.0,1.0465,100000
2,1,1900.0,1.0465,120000
1,1,1500.0,1.0465,150000
1,1,1500.0,1.0465,160000
3,1,1700.0,1.0465,160000
1,1,1100.0,1.0465,130000
2,3,1600.0,1.0465,100000
3,3,1100.0,1.0465,130000
3,3,1600.0,1.0465,160000
3,3,,1.0465,200000
3,3,1600.0,1.0465,150000
3,3,1600.0,1.0465,150000
3,3,,1.0465,240000
3,3,,1.0465,240000
3,3,1600.0,1.0465,87000
3,3,2000.0,1.0465,180000
3,3,1900.0,1.0465,140000
2,3,1600.0,1.0465,99000
3,3,1600.0,1.0465,150000
3,3,1600.0,1.0465,120000
3,3,1800.0,1.0465,150000
3,3,1500.0,1.0465,120000
2,3,1600.0,1.0465,100000
3,3,,1.0465,200000
3,3,1900.0,1.0465,170000
3,3,1100.0,1.0465,87000
3,3,,1.0465,200000
3,3,,1.0465,210000
3,3,1600.0,1.0465,150000
2,3,1900.0,1.0465,120000
2,4,1900.0,1.0465,240000
3,5,,1.0465,220000
3,4,1200.0,1.0465,130000
1,4,1400.0,1.0465,240000
1,4,1800.0,1.0465,180000
3,4,1600.0,1.0465,160000
1,4,1600.0,1.0465,150000
3,4,1800.0,1.0465,160000
3,1,1500.0,1.0465,120000
1,1,1500.0,1.0465,280000
3,1,990.0,1.0465,94000
3,1,1100.0,1.0465,85000
1,1,1200.0,1.0465,130000
1,1,1600.0,1.0465,280000
3,1,1200.0,1.0465,85000
2,3,,1.0465,200000
2,4,2000.0,1.0465,170000
1,2,1300.0,1.0465,140000
1,2,1100.0,1.0465,130000
3,2,1800.0,1.0465,160000
3,3,1900.0,1.0465,87000
1,2,1500.0,1.0465,110000
1,2,1100.0,1.0465,110000
1,1,1200.0,1.0465,130000
1,1,1700.0,1.0465,160000
1,1,1700.0,1.0465,160000
1,1,1700.0,1.0465,280000
1,1,1500.0,1.0465,150000
2,1,1200.0,1.0465,99000
3,1,1200.0,1.0465,100000
3,3,1700.0,1.0465,100000
1,2,1500.0,1.0465,170000
1,2,1900.0,1.0465,170000
2,4,1200.0,1.0389,95000
2,4,590.0,1.0389,72000
1,4,780.0,1.0389,65000
1,4,1100.0,1.0389,84000
1,4,1100.0,1.0389,81000
1,4,920.0,1.0389,75000
1,3,830.0,1.0389,78000
1,3,1200.0,1.0389,63000
1,2,1100.0,1.0389,84000
1,2,1100.0,1.0389,84000
1,2,1100.0,1.0389,83000
1,2,1200.0,1.0389,100000
3,2,740.0,1.0389,91000
